sale_date,sale_price,latitude,longitude,city,zoning,subdivision,present_use,land_val,imp_val,year_built,sqft_lot,sqft,stories,beds,bath_full,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm
2020-01-06,2825000,47.6245481919039,-122.200574832134,BELLEVUE,R-4,ESTEMAR ADD,2,150000,103000,1963,8100,2160,1.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,4498000,47.6436400393811,-122.162830262238,BELLEVUE,R-1,,2,202000,203000,1966,49222,2170,1.5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,1360000,47.4615567238734,-122.353041090506,BURIEN,R-6,,2,73000,66000,1940,12360,1500,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,2350000,47.5448707461591,-122.111385704227,BELLEVUE,R-1,,2,152000,53000,1967,70567,1020,1.5,1,0,0,0,0,0,0,3,4,4,0,0,0,4
2020-02-10,2765000,47.5863673222775,-122.192192619376,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 02,2,185000,77000,1954,11200,1810,1.0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,4785000,47.6358804852782,-122.209352575624,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,175000,97000,1951,16320,1750,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,1475000,47.5985418990031,-122.19704512746,BELLEVUE,R-4,,2,135000,91000,1948,21250,1900,1.0,4,1,0,0,0,2,0,0,0,0,0,0,0,0
2020-04-20,3350000,47.6302462146574,-122.204214277222,BELLEVUE,R-4,WOODMERE PARK ADD,2,150000,132000,1966,7920,2150,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,779000,47.4878214336975,-122.191179106404,RENTON,R-8,WINDSOR HILLS ADD TO RENTON,2,50000,57000,1943,7200,1000,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,2875000,47.5855380753097,-122.192659914869,BELLEVUE,R-4,BRENNANS ENATAI GARDENS NO. 02,2,180000,110000,1958,8370,1840,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,685000,47.4769934081004,-122.341357600181,BURIEN,R-6,LINDE & HILL PARK NO. 02,2,45000,22000,1948,8750,1030,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,2600000,47.6248605920887,-122.199208671099,BELLEVUE,R-4,BELLEMONT VILLAGE ADD,2,145000,130000,1951,15600,2100,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,2890000,47.6340613233321,-122.208030295897,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,150000,35000,1953,8100,780,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,900000,47.5144153285226,-122.199584937883,RENTON,R-8,ELDON ACRES ADD,2,60000,30700,1947,11000,970,1.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-09,2160000,47.6224683998584,-122.198804063299,BELLEVUE,R-4,BELWAY ADD,2,140000,103000,1955,5992,2330,1.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,785000,47.509438207174,-122.165609633497,RENTON,R-8,,2,65000,72000,1922,48787,1880,2.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,2950000,47.6457476787342,-122.154162694989,BELLEVUE,R-1,BEAU CHEVAL ADD,2,209000,497000,1974,39350,2510,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,3540000,47.6239601014229,-122.200444798765,BELLEVUE,R-4,TALLYHO ADD,2,145000,93000,1953,8500,1350,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,3650000,47.6298746561091,-122.206766608783,BELLEVUE,R-4,WOODMERE ADD NO. 02,2,95000,60200,1953,10200,1590,1.0,4,1,0,0,0,2,2,0,0,2,0,0,0,0
2020-07-14,915000,47.7629306333946,-122.164187487365,WOODINVILLE,R-6,,2,65000,45000,1926,13255,1100,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,2928000,47.6245596227968,-122.199781655038,BELLEVUE,R-4,ESTEMAR ADD,2,100000,62300,1963,9000,1850,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,2730000,47.6284809141467,-122.203477991589,BELLEVUE,R-4,WOODMERE ADD,2,150000,51000,1952,8640,1100,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-27,410000,47.4803661179367,-122.315552097576,BURIEN,R-6,HALL JOAN C ACRE TRS,2,27000,30000,1942,3000,560,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-07,2488000,47.5822885788735,-122.195816772915,BELLEVUE,R-4,FAILORS ENATAI GARDENS ADD,2,150000,99000,1951,8100,2030,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
