list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2024-07-12,1350000,2025-01-17,1266455,5,4.5+,5991,24916,Saint Paul,1027 Summit Ave,55105,44.941908,-93.143428
2025-01-22,389900,2025-02-21,375000,2,1.5,1048,7449,Saint Paul,1802 Lincoln Ave,55105,44.938815,-93.176476
2024-06-03,329900,2025-01-20,329900,3,3,1248,4639,Saint Paul,852 James Ave,55102,44.927482,-93.136055
2024-12-30,539900,2025-02-28,595000,4,2.5,1775,4356,Saint Paul,1186 Hague Ave,55104,44.945576,-93.150369
2024-10-19,345000,2025-03-03,347000,3,1,1506,6534,Saint Paul,565 Frontenac Pl,55104,44.957213,-93.205666
2024-11-06,1075000,2025-03-17,1060000,4,3.5,3565,4835,Saint Paul,1439 Eleanor Ave,55116,,
2025-01-20,334900,2025-03-03,334900,3,2,2075,4879,Saint Paul,1132 Edmund Ave,55104,44.958188,-93.148082
2024-12-16,1200000,2025-01-03,1200000,6,5,5955,8843,Saint Paul,916 Lincoln Ave,55105,44.93859,-93.138734
2025-02-16,269900,2025-03-27,269900,3,2.5,1726,5576,Saint Paul,718 Bellows St,55107,44.924359,-93.092332
2025-02-11,199000,2025-03-20,220000,2,1,900,7187,Saint Paul,1732 Beech St,55106,44.96195,-93.02717
2025-02-14,189900,2025-04-02,200000,2,1,1104,4879,Saint Paul,1160 Beech St,55106,44.961921,-93.051583
,,2025-04-25,245000,3,1,1188,5279,Saint Paul,786 Iglehart Ave,55104,44.949231,-93.13355
2025-03-12,340000,2025-04-04,378500,3,2,2062,3920,Saint Paul,1168 Lexington Pkwy N,55103,44.976473,-93.146104
2024-11-14,199900,2025-02-07,190000,3,2,1078,9757,Saint Paul,732 Burr St,55130,44.963353,-93.079547
,,2025-01-07,210000,3,1.5,1837,5959,Saint Paul,1033 Wakefield Ave,55106,44.953436,-93.056869
,,2025-01-02,389000,4,3,2050,9361,Saint Paul,1427 McAfee St,55106,44.984262,-93.044811
2024-11-04,315000,2025-03-17,325000,3,2,1353,9601,Saint Paul,149 Wyoming St E,55107,44.920673,-93.078969
2024-12-13,289900,2025-01-27,284000,3,2,2067,4835,Saint Paul,1636 W Breda Ave,55108,44.976139,-93.169315
,,2024-12-30,336000,3,1.5+,1650,7745,Saint Paul,1264 Jessie St,55130,44.979349,-93.077004
2025-01-17,375000,2025-02-26,391000,3,2.5,1666,6098,Saint Paul,1807 Montreal Ave,55116,44.912807,-93.176427
2025-01-24,214900,2025-03-03,221400,2,1,878,4704,Saint Paul,1236 Albemarle St,55117,44.97841,-93.106851
,,2025-02-19,42500,3,2,1410,7379,Saint Paul,984 Fremont Ave,55106,44.957396,-93.059053
2024-09-24,124995,2024-12-20,115000,2,1,908,4966,Saint Paul,450 Forest St,55106,44.955196,-93.060687
2024-10-18,350000,2024-12-05,348500,3,2,1788,4530,Saint Paul,804 Manomin Ave,55107,44.921897,-93.100275
2024-10-29,250000,2024-12-13,248000,4,2,1655,4661,Saint Paul,663 Jefferson Ave,55102,44.930907,-93.127672
,,2024-12-18,275000,3,2,1360,8542,Saint Paul,1607 Margaret St,55106,44.961581,-93.032501
2024-09-19,284900,2025-01-03,275000,4,2,1433,4400,Saint Paul,984 Jackson St,55117,44.970805,-93.09603
2024-10-10,289900,2025-01-16,289900,3,1,1646,5881,Saint Paul,564 Larpenteur Ave E,55117,44.9917,-93.076888
2025-02-20,425000,2025-04-01,422500,3,2,1500,4966,Saint Paul,1282 Jefferson Ave,55105,44.930301,-93.15447
2024-09-13,275000,2024-12-06,276000,3,2,1665,8756,Saint Paul,518 Idaho Ave E,55130,44.989797,-93.078936
2024-11-27,225000,2024-12-30,226500,2,1,872,6839,Saint Paul,2102 4th St E,55119,44.958275,-93.011803
2024-12-05,325000,2025-01-08,330000,3,1,1367,6708,Saint Paul,1820 Englewood Ave,55104,44.963509,-93.177611
,,2025-01-08,112000,2,2,1596,4966,Saint Paul,659 Edmund Ave,55104,44.958695,-93.12796
2025-02-18,382500,2025-03-31,382500,3,1.5,1568,6098,Saint Paul,1934 Dorothea Ave,55116,44.90543,-93.181659
2024-10-08,255000,2025-01-24,237000,3,2,2010,7362,Saint Paul,1261 Beech St,55106,44.962455,-93.047243
2024-11-28,290000,2025-01-10,302500,3,2,1697,7100,Saint Paul,410 Hoyt Ave E,55130,44.987945,-93.083217
2025-03-26,225000,2025-04-30,250000,3,1,1005,10149,Saint Paul,1734 Bush Ave,55106,44.964669,-93.027126
2024-10-11,339500,2025-03-06,330000,5,1.5,1893,5358,Saint Paul,1699 Thomas Ave,55104,44.959531,-93.171906
2025-01-07,285000,2025-03-06,295000,2,2,1176,7536,Saint Paul,1067 Argyle St,55103,44.97325,-93.143075
,,2025-03-10,310000,7,3,2860,,Saint Paul,693 Saint Albans St N,55104,44.962318,-93.129107
2025-02-15,445000,2025-04-03,480022,4,3,2112,4792,Saint Paul,855 Tuscarora Ave,55102,44.92353,-93.136083
,,2024-12-11,475000,3,1.5,2840,5001,Saint Paul,1791 Bayard Ave,55116,44.92274,-93.175824
,,2024-12-12,220000,3,1,1056,5009,Saint Paul,803 Case Ave,55106,44.970559,-93.066649
2024-10-03,240000,2025-02-12,247200,3,1,1500,5053,Saint Paul,2129 Reaney Ave E,55119,44.964217,-93.010764
2025-02-08,225000,2025-03-14,245000,3,1,1407,8276,Saint Paul,2095 Jessamine Ave E,55119,44.974526,-93.011739
2025-02-16,1095000,2025-02-14,1095000,4,2.5+,3678,6839,Saint Paul,2247 Riverwood Pl,55104,44.944948,-93.195004
,,2025-03-12,127500,4,2,1645,5001,Saint Paul,487 Sherburne Ave,55103,44.956922,-93.120581
,,2024-12-04,240500,3,1,1564,2570,Saint Paul,237 Forbes Ave,55102,44.940293,-93.110075
2024-12-02,509900,2025-01-15,510000,4,2.5,2205,7797,Saint Paul,2029 Morgan Ave,55116,44.9047,-93.185762
2025-02-11,595000,2025-02-27,651000,5,2.5,2700,5793,Saint Paul,495 Cretin Ave S,55116,44.926595,-93.192821
2024-11-15,310000,2024-12-16,315000,4,2,1809,4922,Saint Paul,1987 Maryland Ave E,55119,44.977756,-93.016432
