list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
9/19/2024,284900,1/3/2025,275000,4,2,1433,4400,Saint Paul,984 Jackson St,55117,44.970805,-93.09603
2/20/2025,425000,4/1/2025,422500,3,2,1500,4966,Saint Paul,1282 Jefferson Ave,55105,44.930301,-93.15447
11/28/2024,290000,1/10/2025,302500,3,2,1697,7100,Saint Paul,410 Hoyt Ave E,55130,44.987945,-93.083217
2/14/2025,189900,4/2/2025,200000,2,1,1104,4879,Saint Paul,1160 Beech St,55106,44.961921,-93.051583
11/11/2024,165000,1/17/2025,165000,2,1,768,4400,Saint Paul,1166 Jackson St,55117,44.976258,-93.096047
,,1/2/2025,389000,4,3,2050,9361,Saint Paul,1427 McAfee St,55106,44.984262,-93.044811
11/4/2024,315000,3/17/2025,325000,3,2,1353,9601,Saint Paul,149 Wyoming St E,55107,44.920673,-93.078969
3/26/2025,225000,4/30/2025,250000,3,1,1005,10149,Saint Paul,1734 Bush Ave,55106,44.964669,-93.027126
1/10/2025,309900,3/7/2025,320000,3,2,1415,8978,Saint Paul,36 E Sandra Lee Dr,55119,44.942181,-93.015927
2/6/2025,279900,3/14/2025,288000,3,1,1515,7492,Saint Paul,734 Smith Ave S,55107,44.923919,-93.101446
4/1/2025,185000,5/16/2025,195000,3,1,884,5053,Saint Paul,1739 Reaney Ave,55106,44.964276,-93.026897
,,5/22/2025,255000,3,2,1102,4674,Saint Paul,411 Curtice St E,55107,44.923275,-93.068091
4/9/2025,350000,5/22/2025,365000,3,2,1980,9583,Saint Paul,559 Lexington Pkwy S,55116,44.924683,-93.14708
4/4/2025,299900,5/16/2025,300000,4,2,1564,6534,Saint Paul,1662 Euclid St,55106,44.954734,-93.030138
,,12/30/2024,336000,3,1.5,1650,7745,Saint Paul,1264 Jessie St,55130,44.979349,-93.077004
1/24/2025,214900,3/3/2025,221400,2,1,878,4704,Saint Paul,1236 Albemarle St,55117,44.97841,-93.106851
1/17/2025,375000,2/26/2025,391000,3,2.5,1666,6098,Saint Paul,1807 Montreal Ave,55116,44.912807,-93.176427
10/10/2024,289900,1/16/2025,289900,3,1,1646,5881,Saint Paul,564 Larpenteur Ave E,55117,44.9917,-93.076888
